task_name,count
Cooking Tomato & Eggs,2774
Covid-19 Rapid Antigen Test,2083
Cooking an Omelet,1947
Making Sesame-Ginger Asian Salad,1726
Making Cucumber & Tomato Salad,1287
Cooking Scrambled Eggs,1242
Making Milk Tea,1152
Making Greek Salad,863
Playing Piano - Freeplaying,801
Making Coffee latte,796
Fix a Flat Tire - Replace a Bike Tube,732
Cooking Pasta,675
Cooking Sushi Rolls,633
Making Chai Tea,621
Playing Violin - Freeplaying,555
Basketball Drills - Mid-Range Jump Shooting,547
Basketball Drills - Reverse Layup,515
Clean and Lubricate the Chain,481
Playing Guitar - Freeplaying,470
Playing Piano,389
Playing Piano - Suzuki Books,353
Install a Wheel,348
Making White Radish & Lettuce & Tomato & Cucumber Salad,330
Playing Piano - Scales and Arpeggios,328
Basketball Drills - Mikan Layup,272
Remove a Wheel,252
First Aid - CPR,223
Playing Violin - Suzuki Books,201
Playing Guitar,190
Playing Violin,179
Playing Guitar - Suzuki Books,145
Playing Guitar - Scales and Arpeggios,138
Playing Violin - Scales and Arpeggios,107
Los_Andes_Super_Final_men,48
Cooking Dumplings,45
Soccer Drills - Inside Trap and Outside Play,37
Soccer Drills - Dribbling,31
Soccer Drills - Penalty Kick,31
Soccer,24
