task_name,sites,participants,samples,meets_req
Cooking Noodles,6,57,7442,True
Cooking Tomato & Eggs,6,54,5766,True
Covid-19 Rapid Antigen Test,4,68,5253,True
Making Sesame-Ginger Asian Salad,4,31,4280,True
Cooking an Omelet,5,50,3247,True
Fix a Flat Tire - Replace a Bike Tube,4,19,2487,True
Cooking Scrambled Eggs,5,39,1754,True
Making Cucumber & Tomato Salad,4,62,1740,True
Making Milk Tea,6,54,1721,True
Install a Wheel,4,20,963,True
Basketball Drills - Mid-Range Jump Shooting,3,63,840,True
Clean and Lubricate the Chain,3,10,762,True
Basketball Drills - Reverse Layup,3,62,716,True
Remove a Wheel,4,21,554,True
Basketball Drills - Mikan Layup,3,62,365,True
Playing Piano - Freeplaying,1,16,1171,False
Making Chai Tea,2,19,1095,False
Making Greek Salad,2,14,1060,False
Cooking Pasta,2,10,1049,False
Making Coffee latte,2,25,1019,False
Cooking Sushi Rolls,2,8,760,False
Playing Violin - Freeplaying,2,8,725,False
Playing Guitar - Freeplaying,1,9,597,False
Playing Piano - Suzuki Books,1,16,511,False
Playing Piano,1,14,485,False
Playing Piano - Scales and Arpeggios,1,16,455,False
Making White Radish & Lettuce & Tomato & Cucumber Salad,1,4,450,False
First Aid - CPR,2,26,328,False
Playing Guitar,1,9,278,False
Playing Violin - Suzuki Books,2,8,241,False
Playing Guitar - Suzuki Books,1,8,239,False
Playing Guitar - Scales and Arpeggios,1,9,225,False
Playing Violin,1,7,220,False
Playing Violin - Scales and Arpeggios,2,7,172,False
Adjust a Rear Derailueur,1,1,150,False
Los_Andes_Super_Final_men,1,5,80,False
Cooking Brownies,1,1,62,False
Soccer Drills - Dribbling,2,2,55,False
Soccer Drills - Inside Trap and Outside Play,1,2,49,False
Cooking Dumplings,1,1,45,False
Soccer Drills - Penalty Kick,2,2,31,False
Soccer,1,1,24,False
Teaching the advanced choreography,1,1,23,False
